model,o,d,trip_count,touched_seeds,web_edges_unique,web_edges_attempted,nloc,mloc,avg_outdeg,max_outdeg,frac_outdeg1,undirected_bridges,undirected_articulations,dom_nodes_on_all_paths,dom_edges_on_all_paths,min_edge_cut,layer_width_entropy
twotree,41784756,14406517,344,699,424,424,1398,1449,1.036480686695279,3,0.9685264663805436,22,22,22,23,-1,2.4441839811375883
twotree,158464123#13,-14409833#9,343,82,33,33,247,265,1.0728744939271255,3,0.9271255060728745,41,41,41,42,-1,2.4707497815869828
twotree,48360496,119392511,343,484,793,793,1467,1591,1.0845262440354464,4,0.9427402862985685,26,26,26,27,-1,2.2884466111083883
twotree,41784756,-72503371#9,342,117,11,11,350,358,1.022857142857143,3,0.9742857142857143,36,36,36,37,-1,2.418778001323133
twotree,41784763#0,41784756,340,0,0,0,7,6,0.8571428571428571,1,0.8571428571428571,6,5,5,6,-1,1.7478680974667573
twotree,161676198,41289070#0,339,58,54,54,698,724,1.0372492836676217,3,0.9627507163323782,1,1,1,2,-1,2.630450154917773
twotree,14407526#1,41938209,339,107,24,24,160,166,1.0375,3,0.95625,25,25,25,26,-1,1.9133311615106152
twotree,119392511,14403170#1,337,45,21,21,173,181,1.046242774566474,2,0.9421965317919075,58,59,59,60,-1,2.352238617019946
twotree,546975835#1,41411046,336,66,4,4,135,137,1.0148148148148148,2,0.9703703703703703,25,25,25,26,-1,2.3133529217533715
twotree,1118637221,41784756,335,9,0,0,27,28,1.037037037037037,2,0.8888888888888888,7,7,7,8,-1,2.1490368070871373
twotree,-14416829,161676198,335,11,0,0,82,85,1.0365853658536586,2,0.9390243902439024,3,3,3,4,-1,2.3207350146543093
twotree,179389127#3,551708756,334,256,179,179,654,697,1.0657492354740061,3,0.9418960244648318,28,28,28,29,-1,2.2728301961261983
twotree,1118581567,119392511,332,95,3,3,221,229,1.0361990950226245,3,0.9592760180995475,129,129,129,130,-1,2.5666702620593913
twotree,161676198,-14416829,332,55,23,23,557,570,1.0233393177737882,3,0.9748653500897666,5,5,5,6,-1,2.6460463943320507
twotree,119392511,1118282184,331,0,0,0,16,15,0.9375,1,0.9375,15,14,14,15,-1,2.339371734389815
twotree,41784756,-14424843#1,331,316,324,324,1313,1384,1.0540746382330541,3,0.9466869763899467,10,10,10,11,-1,2.6195299510335497
twotree,14425758#1,14406517,330,69,47,47,362,379,1.0469613259668509,3,0.9530386740331491,13,13,13,14,-1,2.608089257594878
twotree,119392524,14407526#1,330,106,33,33,183,188,1.0273224043715847,2,0.9617486338797814,8,8,8,9,-1,2.4912478000521032
twotree,42704609,48360496,330,63,12,12,251,263,1.047808764940239,2,0.9442231075697212,11,11,11,12,-1,2.401697749059252
twotree,48360496,41784756,330,563,735,735,1665,1803,1.082882882882883,4,0.9429429429429429,18,18,18,19,-1,2.1552971184862475
twotree,41784756,119392524,329,985,346,346,1701,1761,1.035273368606702,3,0.9653145208700764,12,12,12,13,-1,2.495932108863946
twotree,1118282184,119392511,327,100,66,66,880,920,1.0454545454545454,3,0.9545454545454546,9,9,9,10,-1,2.5883775240542195
twotree,168369263#1,119392524,326,364,132,132,737,784,1.0637720488466758,3,0.9402985074626866,17,17,17,18,-1,2.284980219404683
twotree,41411046,546975835#1,326,71,39,39,221,235,1.0633484162895928,3,0.9321266968325792,12,12,12,13,-1,2.5393537989971393
twotree,119392511,-14412864#1,326,24,0,0,277,281,1.0144404332129964,2,0.9783393501805054,7,7,7,8,-1,2.6181957078939666
twotree,14406517,41289070#0,325,59,0,0,90,91,1.011111111111111,2,0.9666666666666667,38,38,38,39,-1,2.2384448796782834
twotree,119392511,48360496,324,64,34,34,382,397,1.0392670157068062,3,0.9607329842931938,4,4,4,5,-1,2.397637119912859
twotree,14426268#0,-171301193#2,324,8,8,8,70,72,1.0285714285714285,2,0.9428571428571428,12,12,12,13,-1,2.434735083455845
twotree,189298750#2,14403170#1,320,34,21,21,167,174,1.0419161676646707,2,0.9461077844311377,53,54,54,55,-1,2.4054478637818963
twotree,1370892719#1,14421829#1,318,49,0,0,137,141,1.0291970802919708,3,0.9635036496350365,3,3,3,4,-1,2.5739128213263376
twotree,14403170#1,41289070#0,318,112,131,131,699,727,1.040057224606581,3,0.9613733905579399,4,4,4,5,-1,2.422135468206095
twotree,-14421948,41784756,318,121,133,133,617,636,1.0307941653160453,2,0.965964343598055,6,6,6,7,-1,2.563280302546169
twotree,14425758#1,543970512,318,77,21,21,434,451,1.0391705069124424,3,0.9654377880184332,10,10,10,11,-1,2.5504073563476504
twotree,41784756,124952399#7,317,98,61,61,447,466,1.0425055928411633,3,0.9552572706935123,9,9,9,10,-1,2.629302843659691
twotree,551708756,159340806,316,0,0,0,5,4,0.8,1,0.8,4,3,3,4,-1,1.6094379124341005
twotree,-14424843#1,-170976521#2,316,0,0,0,94,101,1.074468085106383,3,0.9148936170212766,7,7,7,8,-1,2.549104741407601
